Date,Time,Average,Peak
2013:02:24,04:20:12.008,51.652684,51.664589
2013:02:24,04:20:12.108,50.829208,50.829208
2013:02:24,04:20:12.213,51.235677,51.270542
2013:02:24,04:20:12.308,60.662019,60.679634
2013:02:24,04:20:12.408,60.922378,61.192284
2013:02:24,04:20:12.512,59.159633,59.175134
2013:02:24,04:20:12.608,54.775392,54.835959
2013:02:24,04:20:12.708,59.219970,59.219970
2013:02:24,04:20:12.808,57.962322,58.067895
2013:02:24,04:20:12.908,57.200532,57.211338
2013:02:24,04:20:13.008,55.021079,55.021079
2013:02:24,04:20:13.108,49.547278,49.547278
2013:02:24,04:20:13.213,50.054234,50.152728
2013:02:24,04:20:13.308,51.214286,51.225075
2013:02:24,04:20:13.408,53.010576,53.064439
2013:02:24,04:20:13.512,49.842526,49.909970
2013:02:24,04:20:13.608,51.300403,51.339227
2013:02:24,04:20:13.708,48.538844,48.567108
2013:02:24,04:20:13.812,52.786079,52.786079
2013:02:24,04:20:13.908,55.158148,55.158148
2013:02:24,04:20:14.008,49.299752,49.426865
2013:02:24,04:20:14.108,51.079466,51.079466
2013:02:24,04:20:14.208,47.429918,47.429918
2013:02:24,04:20:14.308,53.096204,53.096204
2013:02:24,04:20:14.408,54.317663,54.317663
2013:02:24,04:20:14.511,59.200070,59.725545
2013:02:24,04:20:14.608,58.119546,58.119546
2013:02:24,04:20:14.708,62.875296,62.878723
2013:02:24,04:20:14.812,57.297134,57.297134
2013:02:24,04:20:14.908,70.591665,70.591665
2013:02:24,04:20:15.008,57.106017,57.106017
2013:02:24,04:20:15.112,55.514214,55.824180
2013:02:24,04:20:15.210,55.772527,55.869295
2013:02:24,04:20:15.309,61.125459,61.249896
2013:02:24,04:20:15.408,57.430515,57.430515
2013:02:24,04:20:15.510,65.662912,65.671738
2013:02:24,04:20:15.608,65.604756,67.160665
2013:02:24,04:20:15.708,55.028921,55.034855
2013:02:24,04:20:15.812,54.414078,54.419855
2013:02:24,04:20:15.908,53.154680,53.160952
2013:02:24,04:20:16.009,51.436274,51.462818
2013:02:24,04:20:16.112,69.192946,69.432283
2013:02:24,04:20:16.208,57.230253,57.236696
2013:02:24,04:20:16.308,55.669055,55.671088
2013:02:24,04:20:16.412,56.132135,56.154848
2013:02:24,04:20:16.508,54.534921,54.534921
2013:02:24,04:20:16.608,53.099915,53.099915
2013:02:24,04:20:16.708,69.797067,69.797067
2013:02:24,04:20:16.807,66.498186,66.556914
2013:02:24,04:20:16.908,66.701128,66.701128
2013:02:24,04:20:17.008,62.757401,62.772200
2013:02:24,04:20:17.112,61.664343,61.772045
2013:02:24,04:20:17.209,57.785463,57.811847
2013:02:24,04:20:17.309,55.654561,55.654561
2013:02:24,04:20:17.412,64.670164,64.670164
